Name,Type,BillingState,Phone,Website
Waqas Khan,,,,
Edge Communications,Customer - Direct,TX,(512) 757-6000,http://edgecomm.com
Burlington Textiles Corp of America,Customer - Direct,NC,(336) 222-7000,www.burlington.com
Pyramid Construction Inc.,Customer - Channel,,(014) 427-4427,www.pyramid.com
Dickenson plc,Customer - Channel,KS,(785) 241-6200,dickenson-consulting.com
Grand Hotels & Resorts Ltd,Customer - Direct,IL,(312) 596-1000,www.grandhotels.com
United Oil & Gas Corp.,Customer - Direct,NY,(212) 842-5500,http://www.uos.com
Express Logistics and Transport,Customer - Channel,OR,(503) 421-7800,www.expressl&t.net
University of Arizona,Customer - Direct,AZ,(520) 773-9050,www.universityofarizona.com
"United Oil & Gas, UK",Customer - Direct,UK,+44 191 4956203,http://www.uos.com
"United Oil & Gas, Singapore",Customer - Direct,Singapore,(650) 450-8810,http://www.uos.com
GenePoint,Customer - Channel,CA,(650) 867-3450,www.genepoint.com
sForce,,CA,(415) 901-7000,www.sforce.com
test,,,,
